TRANSACTION_ID,STORE_ID,PRODUCT_ID,CUSTOMER_ID,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT,TRANSACTION_DT
T0000160,S090,P0028,C000751,10,797.41,7974.1,2022-08-25 00:10:10
T0000161,S114,P0292,C002514,4,441.19,1764.76,2024-05-18 16:07:24
T0000162,S122,P0376,C002298,9,346.31,3116.79,2021-06-20 01:43:00
T0000163,S068,P0261,C001514,10,526.39,5263.9,2021-07-25 12:40:22
T0000164,S198,P0306,C000102,6,211.55,1269.3,2022-06-28 06:12:48
T0000165,S076,P0285,C001832,9,89.42,804.78,2022-08-02 23:02:46
T0000166,S012,P0158,C000430,5,519.26,2596.3,2023-10-20 03:48:11
T0000167,S067,P0004,C002785,9,566.84,5101.56,2023-11-28 16:51:19
T0000168,S125,P0418,C002361,6,327.49,1964.94,2021-06-08 11:46:11
T0000169,S179,P0482,C001641,10,545.33,5453.3,2024-04-20 05:50:49
T0000170,S035,P0303,C000470,4,100.62,402.48,2023-07-24 23:00:22
T0000171,S197,P0299,C000139,2,457.0,914.0,2023-03-27 20:11:42
T0000172,S135,P0145,C002762,1,438.76,438.76,2022-09-24 17:23:31
T0000173,S104,P0354,C000966,4,127.2,508.8,2021-01-24 22:41:09
T0000174,S178,P0477,C002384,5,284.63,1423.15,2023-08-23 23:20:33
T0000175,S153,P0052,C001249,2,759.64,1519.28,2022-10-06 23:49:42
T0000176,S148,P0096,C002054,5,291.7,1458.5,2021-10-11 17:00:45
T0000177,S098,P0252,C001871,5,163.59,817.95,2021-07-29 15:46:49
T0000178,S087,P0124,C001822,5,507.18,2535.9,2023-04-16 13:39:21
T0000179,S196,P0493,C001806,9,350.2,3151.8,2022-12-05 15:15:40
T0000180,S053,P0351,C001816,2,546.81,1093.62,2023-02-13 10:47:48
T0000181,S061,P0204,C000279,2,100.24,200.48,2021-07-13 14:44:20
T0000182,S133,P0189,C002408,6,262.26,1573.56,2021-10-11 11:18:45
T0000183,S019,P0464,C002025,2,772.68,1545.36,2023-06-01 19:00:39
T0000184,S127,P0155,C002010,9,549.62,4946.58,2021-12-02 11:27:03
T0000185,S105,P0327,C001016,5,605.43,3027.15,2022-02-22 06:18:33
T0000186,S084,P0045,C000042,2,87.04,174.08,2021-06-17 00:59:08
T0000187,S043,P0337,C002281,9,225.05,2025.45,2022-02-20 04:16:04
T0000188,S069,P0293,C002732,2,726.06,1452.12,2022-07-07 02:47:15
T0000189,S014,P0044,C000368,3,663.03,1989.09,2021-04-04 02:58:24
T0000190,S166,P0233,C001252,8,618.4,4947.2,2022-06-13 20:23:33
T0000191,S024,P0161,C002813,8,796.86,6374.88,2024-03-10 15:52:52
T0000192,S025,P0302,C001123,3,727.09,2181.27,2022-01-22 18:13:41
T0000193,S015,P0096,C000278,3,291.7,875.1,2022-06-12 11:43:40
T0000194,S178,P0276,C000632,5,268.88,1344.4,2023-09-06 00:19:06
T0000195,S131,P0496,C000103,8,374.0,2992.0,2021-03-30 21:17:13
T0000196,S047,P0237,C002120,6,671.68,4030.08,2023-07-08 09:48:07
T0000197,S188,P0099,C001679,5,373.84,1869.2,2021-12-02 12:01:03
T0000198,S071,P0092,C002773,5,784.79,3923.95,2024-10-22 16:48:50
T0000199,S016,P0486,C000706,7,478.49,3349.43,2024-07-03 03:56:05
T0000200,S162,P0164,C002710,5,352.73,1763.65,2023-03-28 14:46:14
T0000201,S112,P0311,C002564,3,375.42,1126.26,2021-01-04 17:36:51
T0000202,S199,P0358,C000714,10,437.68,4376.8,2023-07-30 05:25:46
T0000203,S034,P0402,C000965,2,216.14,432.28,2023-12-08 23:35:28
T0000204,S113,P0500,C000105,9,282.65,2543.85,2023-04-21 08:46:06
T0000205,S054,P0424,C001240,5,61.0,305.0,2022-12-19 08:23:42
T0000206,S150,P0226,C001475,1,497.45,497.45,2024-01-30 06:16:35
T0000207,S146,P0458,C002680,1,748.43,748.43,2024-11-10 07:19:22
T0000208,S132,P0369,C001320,7,578.09,4046.63,2024-12-05 21:40:11
T0000209,S129,P0024,C000567,9,640.56,5765.04,2022-09-13 10:08:23
T0000210,S001,P0478,C000630,8,583.32,4666.56,2023-11-26 07:17:16
T0000211,S108,P0355,C000541,7,308.86,2162.02,2024-02-05 10:02:45
T0000212,S159,P0460,C001213,2,69.09,138.18,2024-11-03 10:40:46
T0000213,S118,P0307,C000227,5,202.89,1014.45,2022-08-10 16:35:28
T0000214,S084,P0042,C001419,4,171.96,687.84,2023-10-02 23:02:46
T0000215,S156,P0086,C001642,1,52.23,52.23,2023-06-03 00:46:01
T0000216,S139,P0395,C000530,4,218.56,874.24,2024-10-31 18:50:39
T0000217,S038,P0006,C002798,1,440.21,440.21,2021-01-29 23:10:25
T0000218,S045,P0305,C001936,9,71.01,639.09,2021-01-18 15:20:13
T0000219,S164,P0247,C002994,9,200.61,1805.49,2021-10-12 22:47:13
T0000220,S069,P0217,C001287,6,300.29,1801.74,2022-02-19 00:10:24
T0000221,S157,P0076,C000612,3,564.13,1692.39,2021-12-15 04:24:12
T0000222,S033,P0264,C002243,2,495.85,991.7,2023-03-28 22:41:54
T0000223,S006,P0105,C001312,9,327.28,2945.52,2022-03-21 06:21:15
T0000224,S184,P0459,C000613,4,114.1,456.4,2021-12-07 18:01:05
T0000225,S037,P0116,C001250,5,515.99,2579.95,2021-10-11 09:45:17
T0000226,S019,P0461,C001606,1,521.22,521.22,2023-11-23 07:48:05
T0000227,S143,P0269,C002639,2,433.53,867.06,2022-06-05 19:46:48
T0000228,S150,P0332,C002437,5,654.85,3274.25,2024-01-15 06:04:16
T0000229,S172,P0085,C000880,4,708.25,2833.0,2021-09-17 06:25:28
T0000230,S129,P0481,C002979,5,426.77,2133.85,2023-05-21 14:23:18
T0000231,S031,P0309,C002391,10,135.95,1359.5,2023-06-30 02:57:07
T0000232,S012,P0261,C002897,2,526.39,1052.78,2023-11-09 14:33:51
T0000233,S051,P0076,C000455,4,564.13,2256.52,2024-08-10 08:15:24
T0000234,S115,P0480,C002838,6,500.43,3002.58,2024-10-26 06:30:05
T0000235,S021,P0399,C001065,6,693.34,4160.04,2024-09-17 13:00:16
T0000236,S078,P0132,C001830,3,799.52,2398.56,2021-11-13 17:24:22
T0000237,S008,P0366,C000211,5,654.1,3270.5,2023-11-23 22:13:30
T0000238,S175,P0327,C002533,8,605.43,4843.44,2022-06-24 09:15:24
T0000239,S043,P0466,C000718,6,530.91,3185.46,2024-06-10 16:28:22
T0000240,S052,P0017,C000895,8,52.1,416.8,2022-06-03 18:45:16
T0000241,S094,P0332,C000214,9,654.85,5893.65,2022-03-11 15:56:42
T0000242,S069,P0434,C000911,3,234.46,703.38,2021-04-14 01:54:03
T0000243,S103,P0338,C000019,9,304.87,2743.83,2022-05-20 00:04:18
T0000244,S164,P0487,C001863,8,533.34,4266.72,2022-05-14 15:49:38
T0000245,S192,P0341,C001564,8,291.06,2328.48,2023-01-15 18:29:11
T0000246,S092,P0298,C002126,8,70.18,561.44,2023-09-24 03:24:31
T0000247,S187,P0376,C001300,8,346.31,2770.48,2022-04-25 08:14:19
T0000248,S060,P0171,C000911,9,336.57,3029.13,2022-03-10 18:09:40
T0000249,S197,P0497,C002416,1,736.28,736.28,2022-01-13 08:58:48
T0000250,S137,P0371,C002426,5,639.89,3199.45,2024-10-14 02:02:22
T0000251,S084,P0224,C002434,5,610.92,3054.6,2024-10-22 16:41:36
T0000252,S098,P0391,C000430,10,65.01,650.1,2021-12-12 16:52:10
T0000253,S190,P0454,C002149,2,765.05,1530.1,2021-11-11 01:35:56
T0000254,S119,P0311,C002589,7,375.42,2627.94,2021-11-13 10:11:22
T0000255,S139,P0019,C002353,10,292.06,2920.6,2022-12-25 05:45:45
T0000256,S041,P0135,C002692,3,783.02,2349.06,2023-07-20 11:55:55
T0000257,S110,P0060,C001843,4,357.36,1429.44,2023-07-04 05:30:21
T0000258,S014,P0041,C001950,1,391.44,391.44,2021-05-11 04:05:24
T0000259,S115,P0165,C002614,6,534.29,3205.74,2022-11-13 14:15:08
T0000260,S117,P0236,C001206,8,571.83,4574.64,2022-05-23 13:24:43
T0000261,S029,P0023,C001715,8,527.35,4218.8,2022-09-14 10:49:00
T0000262,S067,P0355,C002478,10,308.86,3088.6,2023-11-07 20:31:19
T0000263,S011,P0403,C002906,8,376.19,3009.52,2021-09-12 14:30:40
T0000264,S125,P0322,C002014,9,433.08,3897.72,2024-12-28 18:45:34
T0000265,S014,P0121,C000075,3,306.02,918.06,2022-08-10 20:57:25
T0000266,S035,P0113,C002763,1,685.86,685.86,2021-01-20 20:23:28
T0000267,S055,P0115,C001240,2,57.64,115.28,2023-12-29 17:28:10
T0000268,S031,P0400,C001312,6,781.04,4686.24,2024-11-03 00:39:52
T0000269,S051,P0316,C002562,4,353.27,1413.08,2021-04-23 08:22:01
T0000270,S131,P0483,C000041,4,397.64,1590.56,2023-01-27 09:48:40
T0000271,S053,P0054,C001022,8,214.7,1717.6,2022-03-27 03:58:50
T0000272,S039,P0478,C002914,10,583.32,5833.2,2023-01-27 01:02:59
T0000273,S199,P0139,C002257,9,520.2,4681.8,2024-07-07 19:51:34
T0000274,S028,P0395,C002525,9,218.56,1967.04,2023-10-19 13:17:18
T0000275,S145,P0435,C002319,8,479.31,3834.48,2022-04-13 05:01:44
T0000276,S178,P0091,C002631,10,573.17,5731.7,2021-09-30 17:30:42
T0000277,S135,P0020,C002548,10,37.82,378.2,2021-10-21 19:00:11
T0000278,S061,P0452,C002870,10,123.84,1238.4,2024-01-10 14:25:18
T0000279,S054,P0448,C002368,2,459.73,919.46,2024-07-12 01:25:10
T0000280,S108,P0092,C000128,5,784.79,3923.95,2023-05-29 16:44:50
T0000281,S144,P0213,C000805,1,313.02,313.02,2022-04-01 19:45:51
T0000282,S017,P0437,C001588,10,662.68,6626.8,2021-05-19 20:48:18
T0000283,S194,P0132,C002234,7,799.52,5596.64,2023-09-10 01:25:20
T0000284,S120,P0333,C001556,10,58.48,584.8,2024-01-07 14:49:00
T0000285,S066,P0140,C001123,10,513.75,5137.5,2021-05-12 04:22:08
T0000286,S140,P0180,C000336,1,445.97,445.97,2021-08-05 12:29:24
T0000287,S068,P0343,C000682,8,235.37,1882.96,2021-12-25 11:45:26
T0000288,S086,P0455,C001882,4,62.39,249.56,2021-01-31 03:43:51
T0000289,S130,P0383,C000191,9,154.71,1392.39,2023-10-10 04:56:09
T0000290,S087,P0258,C001235,3,301.0,903.0,2022-04-05 00:36:02
T0000291,S034,P0083,C002625,8,615.19,4921.52,2022-01-04 17:39:03
T0000292,S177,P0465,C001526,3,532.73,1598.19,2021-08-23 12:31:08
T0000293,S044,P0250,C002989,3,590.08,1770.24,2022-05-10 02:30:49
T0000294,S031,P0359,C001092,4,530.16,2120.64,2022-08-12 02:28:05
T0000295,S187,P0198,C001572,4,585.05,2340.2,2024-01-16 05:46:39
T0000296,S107,P0237,C001799,6,671.68,4030.08,2024-04-08 15:59:23
T0000297,S034,P0239,C001806,8,44.43,355.44,2021-08-13 23:47:34
T0000298,S147,P0261,C002869,5,526.39,2631.95,2023-04-15 00:58:02
T0000299,S091,P0097,C002878,5,661.82,3309.1,2023-03-19 12:03:52
T0000300,S164,P0465,C001804,5,532.73,2663.65,2021-05-05 22:20:46
T0000301,S098,P0406,C002205,4,748.99,2995.96,2022-06-16 23:32:48
T0000302,S137,P0489,C001789,10,152.98,1529.8,2023-10-30 17:49:51
T0000303,S025,P0219,C002847,5,139.24,696.2,2023-04-01 05:45:47
T0000304,S158,P0065,C002314,2,755.86,1511.72,2023-10-16 17:29:12
T0000305,S193,P0099,C001596,1,373.84,373.84,2022-10-29 08:47:25
T0000306,S194,P0424,C002446,1,61.0,61.0,2024-01-19 02:20:37
T0000307,S022,P0401,C000053,1,426.53,426.53,2021-03-07 17:33:14
T0000308,S180,P0242,C002214,4,773.97,3095.88,2021-08-28 18:52:29
T0000309,S041,P0376,C001674,4,346.31,1385.24,2023-09-04 23:16:43
T0000310,S065,P0037,C002404,9,40.89,368.01,2023-09-20 01:44:07
T0000311,S054,P0467,C000752,3,249.77,749.31,2022-10-13 02:03:32
T0000312,S188,P0264,C000363,10,495.85,4958.5,2022-02-12 08:24:22
T0000313,S160,P0346,C000615,3,282.5,847.5,2023-08-31 09:24:02
T0000314,S167,P0150,C001513,5,774.8,3874.0,2024-09-13 12:44:37
T0000315,S186,P0496,C001162,5,374.0,1870.0,2023-09-15 05:50:11
T0000316,S114,P0266,C002025,10,654.44,6544.4,2021-12-24 10:33:52
T0000317,S073,P0409,C001794,8,47.85,382.8,2021-06-05 16:35:16
T0000318,S080,P0013,C001672,7,665.82,4660.74,2024-02-17 14:06:28
T0000319,S116,P0292,C002367,5,441.19,2205.95,2021-09-15 00:12:32
T0000320,S175,P0396,C001540,2,379.23,758.46,2022-03-24 17:11:56
T0000321,S110,P0312,C002179,3,44.63,133.89,2022-01-27 16:28:48
T0000322,S097,P0044,C002298,3,663.03,1989.09,2022-10-12 22:01:48
T0000323,S053,P0467,C000122,9,249.77,2247.93,2023-10-06 18:51:07
T0000324,S198,P0253,C002310,1,166.4,166.4,2024-05-14 02:32:53
T0000325,S046,P0257,C000315,3,516.17,1548.51,2021-06-18 05:52:29
T0000326,S104,P0112,C001295,9,509.91,4589.19,2021-08-17 13:18:05
T0000327,S112,P0245,C000308,1,365.47,365.47,2021-12-21 14:09:17
T0000328,S044,P0088,C002906,6,344.15,2064.9,2021-07-29 22:07:50
T0000329,S052,P0099,C001299,7,373.84,2616.88,2021-09-25 18:28:37
T0000330,S074,P0149,C000942,8,610.7,4885.6,2024-10-09 06:40:23
T0000331,S139,P0095,C002049,5,695.3,3476.5,2021-02-27 03:36:56
T0000332,S043,P0182,C002856,3,41.44,124.32,2021-04-30 01:34:13
T0000333,S068,P0126,C000763,1,385.09,385.09,2024-02-27 02:31:58
T0000334,S139,P0081,C002050,2,385.72,771.44,2021-11-11 10:37:04
T0000335,S124,P0469,C002531,7,598.79,4191.53,2024-09-10 15:15:07
T0000336,S111,P0467,C002708,8,249.77,1998.16,2023-11-17 07:30:30
T0000337,S007,P0099,C000400,8,373.84,2990.72,2021-12-14 21:43:35
T0000338,S191,P0137,C000206,10,671.29,6712.9,2024-06-02 07:51:58
T0000339,S122,P0180,C000330,4,445.97,1783.88,2023-09-25 15:08:28
T0000340,S175,P0274,C001057,9,248.79,2239.11,2021-08-19 11:02:04
T0000341,S189,P0335,C000417,10,748.7,7487.0,2023-02-19 18:00:36
T0000342,S145,P0315,C000409,9,261.89,2357.01,2022-08-19 11:52:53
T0000343,S018,P0320,C000629,1,31.2,31.2,2023-11-08 09:53:47
T0000344,S160,P0384,C001748,6,759.56,4557.36,2022-05-27 18:40:18
T0000345,S087,P0047,C002335,5,795.32,3976.6,2021-03-22 13:35:17
T0000346,S104,P0277,C001188,6,488.18,2929.08,2024-07-22 21:11:18
T0000347,S055,P0356,C001033,1,552.88,552.88,2021-07-23 01:42:41
T0000348,S119,P0187,C000716,9,487.12,4384.08,2023-07-17 22:09:00
