product_id,location_id,location_type,quantity,last_updated
PROD200110,LOC2172,Warehouse,528,2023-09-14 23:18:49
PROD201014,LOC1281,Warehouse,490,2024-06-26 04:20:33
PROD201709,LOC1753,Warehouse,125,2025-11-10 15:08:38
PROD200109,LOC1605,Store,721,2025-08-08 23:27:03
PROD204850,LOC2221,Store,72,2025-07-16 21:57:31
PROD204251,LOC2612,Distributor,780,2024-12-03 15:40:15
PROD203651,LOC1643,Distributor,359,2023-08-02 10:50:01
PROD200542,LOC2464,Store,768,2025-09-24 17:01:03
PROD200983,LOC1711,Warehouse,198,2023-10-23 15:13:09
PROD204618,LOC2266,Warehouse,916,2023-11-28 17:15:20
PROD200401,LOC1352,Warehouse,757,2024-01-20 23:30:18
PROD202593,LOC2093,Distributor,969,2023-04-12 22:35:57
PROD202290,LOC2411,Store,295,2023-03-30 20:12:47
PROD203947,LOC1762,Distributor,942,2023-11-03 23:24:57
PROD202795,LOC1167,Warehouse,975,2023-02-22 19:55:15
PROD202059,LOC1124,Warehouse,577,2023-03-27 08:33:29
PROD201399,LOC2583,Distributor,871,2025-09-04 15:06:37
PROD200387,LOC1185,Warehouse,120,2024-02-28 22:11:05
PROD202156,LOC2254,Store,618,2024-01-01 22:07:52
PROD204606,LOC2955,Warehouse,82,2024-08-28 04:07:59
PROD203442,LOC2157,Distributor,445,2023-08-10 23:33:46
PROD204400,LOC1856,Store,973,2024-05-21 16:28:48
PROD202695,LOC1235,Distributor,29,2025-01-17 23:54:35
PROD200078,LOC1046,Store,474,2023-06-24 08:28:26
PROD203044,LOC1329,Warehouse,447,2025-02-25 06:41:57
PROD204530,LOC2277,Store,407,2024-12-29 19:16:22
PROD200269,LOC2732,Distributor,640,2025-04-18 12:17:59
PROD200860,LOC1984,Store,731,2025-07-03 15:39:45
PROD200233,LOC1968,Distributor,814,2023-05-14 17:50:08
PROD200331,LOC1053,Store,715,2024-07-29 03:05:31
PROD203790,LOC2416,Distributor,177,2023-02-11 02:48:29
PROD201833,LOC2210,Distributor,141,2024-04-23 22:14:17
PROD204569,LOC1137,Warehouse,380,2024-07-27 23:11:28
PROD204059,LOC2990,Distributor,161,2025-08-04 12:19:30
PROD201450,LOC1372,Store,867,2024-12-03 01:48:34
PROD201739,LOC2493,Store,91,2024-01-06 18:44:30
PROD203032,LOC1186,Store,258,2025-10-24 02:07:12
PROD200236,LOC1383,Distributor,993,2024-06-01 21:06:03
PROD201480,LOC1919,Warehouse,519,2023-04-14 07:07:14
PROD202568,LOC2832,Distributor,530,2023-08-26 09:16:16
PROD202289,LOC1329,Distributor,70,2025-08-23 01:47:19
PROD200635,LOC2048,Distributor,865,2025-08-16 16:30:52
PROD204754,LOC1252,Warehouse,3,2023-03-22 00:04:22
PROD200977,LOC2207,Warehouse,853,2024-02-19 16:04:00
PROD203418,LOC1327,Distributor,850,2023-10-19 21:10:59
PROD204398,LOC2150,Store,681,2024-01-07 02:48:29
PROD204358,LOC2548,Warehouse,61,2025-10-13 18:57:09
PROD201532,LOC2287,Distributor,67,2025-07-05 10:58:38
PROD201728,LOC2539,Distributor,998,2025-03-03 00:20:34
PROD204779,LOC1378,Store,324,2025-01-21 02:09:26
PROD204493,LOC1332,Store,737,2023-12-14 13:48:13
PROD200587,LOC2442,Warehouse,317,2024-10-19 01:54:11
PROD200830,LOC1080,Warehouse,62,2024-03-11 08:20:01
PROD203320,LOC1797,Store,104,2023-02-04 11:03:51
PROD200029,LOC2187,Distributor,813,2025-01-12 18:30:17
PROD204066,LOC1409,Warehouse,478,2025-03-13 03:17:44
PROD204852,LOC2468,Warehouse,383,2024-06-25 00:41:17
PROD202052,LOC1911,Distributor,719,2025-03-16 14:14:14
PROD203029,LOC1482,Warehouse,495,2025-02-15 13:33:33
PROD200134,LOC1644,Distributor,754,2025-03-12 08:30:55
PROD200662,LOC2722,Warehouse,372,2025-10-24 16:06:12
PROD201306,LOC1136,Warehouse,43,2025-02-05 06:18:03
PROD203543,LOC1010,Distributor,892,2024-04-17 04:03:59
PROD200490,LOC1583,Distributor,214,2025-04-17 22:55:12
PROD203851,LOC2086,Store,0,2024-09-10 02:04:27
PROD202367,LOC1303,Distributor,955,2024-04-07 23:20:26
PROD203069,LOC2911,Distributor,680,2023-03-10 03:37:41
PROD202527,LOC2163,Store,347,2023-02-27 13:29:38
PROD202006,LOC1964,Distributor,513,2025-08-25 14:05:20
PROD204413,LOC2745,Warehouse,945,2025-11-07 14:20:01
PROD202759,LOC2755,Distributor,912,2024-01-22 08:52:18
PROD202877,LOC2470,Warehouse,733,2023-07-22 08:48:46
PROD201132,LOC2038,Store,79,2023-06-14 09:15:49
PROD201159,LOC2886,Store,677,2024-12-23 16:57:29
PROD202556,LOC1647,Distributor,876,2025-02-21 18:26:25
PROD200129,LOC1369,Warehouse,123,2023-03-18 15:44:11
PROD203004,LOC1093,Store,936,2024-10-07 06:05:18
PROD201278,LOC1950,Store,570,2024-12-28 23:10:36
PROD202811,LOC1672,Warehouse,621,2024-07-19 20:17:32
PROD204344,LOC1708,Distributor,420,2023-06-20 09:08:41
PROD201476,LOC2407,Distributor,987,2025-08-06 04:48:30
PROD200694,LOC1345,Store,557,2025-02-14 00:26:33
PROD203054,LOC2567,Store,682,2024-04-20 08:20:32
PROD200929,LOC1409,Store,401,2023-05-20 06:40:11
PROD201669,LOC2143,Distributor,967,2024-02-06 21:45:52
PROD202611,LOC2618,Distributor,369,2025-03-23 09:08:15
PROD201102,LOC1068,Warehouse,990,2023-03-27 15:04:58
PROD202474,LOC1082,Warehouse,452,2025-08-17 10:46:41
PROD202074,LOC2777,Store,663,2025-08-20 13:55:02
PROD203513,LOC1774,Distributor,84,2023-09-29 22:21:49
PROD202736,LOC1777,Warehouse,930,2024-05-12 12:38:30
PROD200656,LOC1035,Store,782,2023-01-20 03:20:31
PROD202112,LOC1901,Store,400,2024-01-21 03:33:07
PROD204611,LOC2773,Warehouse,723,2024-08-27 03:15:21
PROD204074,LOC1878,Distributor,322,2025-08-20 13:31:57
PROD201165,LOC1190,Distributor,864,2024-06-22 20:24:38
PROD200327,LOC1397,Store,53,2024-03-10 20:26:36
PROD204002,LOC1465,Distributor,167,2025-03-05 05:54:59
PROD200723,LOC2883,Distributor,236,2024-09-07 04:51:25
PROD201394,LOC1509,Distributor,318,2024-04-14 04:54:11
PROD204030,LOC2614,Distributor,624,2025-10-19 20:35:01
PROD202855,LOC2123,Distributor,713,2023-11-23 11:02:49
PROD203951,LOC2027,Distributor,907,2025-07-03 08:58:39
PROD201933,LOC2187,Store,440,2023-04-11 08:41:20
PROD200303,LOC2229,Warehouse,989,2025-08-05 02:48:30
PROD200234,LOC1262,Distributor,932,2023-12-25 15:08:45
PROD204295,LOC1763,Distributor,235,2024-11-29 23:04:20
PROD201073,LOC2163,Distributor,664,2024-11-12 16:45:23
PROD200563,LOC1920,Warehouse,283,2025-12-14 21:15:22
PROD203658,LOC2682,Distributor,460,2025-07-15 09:49:35
PROD202801,LOC2953,Warehouse,48,2024-04-30 18:19:38
PROD200642,LOC2915,Warehouse,878,2024-10-16 00:57:41
PROD200993,LOC1774,Distributor,94,2023-02-15 06:50:18
PROD202733,LOC1807,Store,735,2025-11-19 19:48:16
PROD203327,LOC2526,Distributor,309,2023-09-02 03:20:52
PROD200060,LOC2310,Store,445,2023-09-14 01:39:56
PROD202293,LOC1572,Store,736,2023-05-29 04:29:07
PROD200929,LOC2229,Warehouse,160,2025-03-03 13:01:37
PROD204001,LOC2074,Store,885,2025-03-21 12:28:58
PROD202644,LOC2748,Store,494,2025-05-17 00:18:12
PROD202449,LOC1447,Warehouse,934,2024-01-22 03:03:35
PROD200805,LOC1110,Store,964,2023-02-20 09:06:49
PROD202785,LOC1679,Warehouse,992,2025-10-10 02:33:30
PROD200290,LOC1215,Distributor,665,2025-11-02 21:07:10
PROD200378,LOC1972,Store,160,2023-06-27 14:22:13
PROD203110,LOC2763,Warehouse,228,2023-12-08 06:33:01
PROD202787,LOC1713,Store,582,2024-02-12 22:45:31
PROD203496,LOC1357,Warehouse,239,2025-10-25 00:38:10
PROD204491,LOC1011,Distributor,426,2024-07-16 01:28:34
PROD200160,LOC2333,Distributor,886,2024-07-02 22:22:39
PROD200790,LOC1265,Store,503,2025-01-19 22:46:36
PROD200338,LOC1949,Distributor,23,2025-09-29 13:50:09
PROD202893,LOC2742,Distributor,337,2023-06-10 11:35:50
PROD203998,LOC2494,Distributor,729,2024-09-25 11:26:36
PROD203869,LOC1319,Warehouse,139,2025-04-27 03:37:16
PROD203524,LOC1412,Store,746,2025-09-11 10:56:24
PROD203431,LOC1817,Store,997,2025-06-02 13:52:28
PROD202228,LOC1931,Distributor,296,2023-05-12 16:12:29
PROD202103,LOC1852,Distributor,634,2024-03-02 08:05:38
PROD204150,LOC2967,Warehouse,241,2023-09-25 19:55:29
PROD203667,LOC1289,Distributor,46,2023-06-02 17:49:23
PROD204317,LOC2262,Store,685,2024-05-17 22:11:32
PROD200596,LOC1138,Warehouse,602,2025-11-04 00:36:37
PROD201131,LOC1114,Warehouse,696,2023-05-09 00:32:16
PROD203684,LOC2871,Warehouse,492,2024-05-18 17:58:03
PROD202945,LOC1216,Warehouse,89,2023-05-11 06:14:55
PROD204959,LOC1152,Warehouse,405,2024-05-16 12:40:47
PROD200946,LOC1152,Store,433,2023-12-26 03:13:05
PROD201792,LOC2196,Store,661,2025-09-05 03:44:50
PROD202559,LOC2011,Warehouse,440,2025-10-06 16:08:12
PROD202360,LOC2046,Store,495,2024-10-03 05:37:46
PROD201324,LOC2553,Distributor,268,2024-05-04 06:43:59
PROD204344,LOC1575,Warehouse,214,2025-04-28 22:18:04
PROD202918,LOC1047,Distributor,479,2024-06-16 21:27:56
PROD202890,LOC1023,Distributor,930,2024-03-17 14:42:30
PROD200775,LOC2558,Distributor,69,2024-07-02 13:31:15
PROD200242,LOC2224,Store,891,2025-09-06 20:01:54
PROD204001,LOC1681,Distributor,50,2025-03-28 07:00:58
PROD202562,LOC2994,Store,381,2025-01-06 06:54:52
PROD200202,LOC1516,Warehouse,41,2023-08-12 16:26:54
PROD204535,LOC1168,Warehouse,313,2025-07-25 01:20:55
PROD203275,LOC1106,Distributor,972,2024-07-01 02:42:33
PROD201199,LOC2624,Store,923,2023-12-09 05:42:02
PROD203815,LOC1347,Store,162,2025-08-27 11:52:37
PROD203900,LOC2134,Distributor,196,2023-12-16 19:38:52
PROD200246,LOC2572,Distributor,43,2025-02-18 21:04:56
PROD204254,LOC2540,Store,179,2025-04-07 13:08:28
PROD204952,LOC2679,Warehouse,735,2025-10-19 13:57:04
PROD202604,LOC1254,Distributor,709,2023-08-09 11:18:31
PROD204730,LOC2466,Distributor,762,2025-08-06 04:54:57
PROD201542,LOC2718,Warehouse,937,2024-09-12 04:55:23
PROD203029,LOC1263,Store,878,2025-12-21 11:42:12
PROD202494,LOC2178,Distributor,775,2023-09-01 21:18:18
PROD202163,LOC1365,Distributor,253,2024-01-06 07:53:36
PROD204503,LOC2901,Distributor,7,2025-09-07 18:08:43
PROD200295,LOC1646,Distributor,535,2023-07-28 00:25:08
PROD200330,LOC1850,Store,92,2023-03-21 14:54:31
PROD200028,LOC2866,Warehouse,817,2024-04-04 05:26:51
PROD201844,LOC2078,Warehouse,846,2024-06-21 22:35:00
PROD201355,LOC2247,Warehouse,147,2025-01-02 16:20:58
PROD202513,LOC2033,Distributor,368,2023-04-20 11:40:53
PROD201223,LOC1577,Distributor,501,2023-08-08 01:54:12
PROD200002,LOC1171,Distributor,11,2024-03-29 00:13:50
PROD202401,LOC2662,Store,646,2024-02-01 10:48:14
PROD201420,LOC1563,Store,421,2023-11-19 16:43:33
PROD200441,LOC1782,Distributor,728,2024-08-17 08:14:09
PROD204384,LOC2232,Warehouse,293,2023-03-04 00:03:23
PROD204460,LOC2521,Warehouse,28,2025-07-19 07:30:50
PROD201119,LOC1439,Warehouse,604,2023-06-01 15:20:00
PROD202280,LOC1459,Warehouse,838,2023-12-15 15:34:28
PROD202752,LOC2111,Warehouse,543,2024-10-28 16:41:09
PROD204301,LOC2535,Warehouse,945,2024-10-01 12:29:26
PROD201884,LOC2823,Warehouse,326,2024-11-27 12:27:43
PROD202736,LOC2646,Distributor,357,2023-07-11 13:02:01
PROD204012,LOC2902,Store,208,2023-09-25 07:15:08
PROD202838,LOC2167,Warehouse,434,2023-03-06 02:18:35
PROD201936,LOC2610,Warehouse,906,2025-12-22 23:45:50
PROD202756,LOC2267,Distributor,741,2024-12-25 20:28:57
PROD204447,LOC1776,Warehouse,97,2024-07-23 04:23:48
PROD203705,LOC2568,Warehouse,139,2025-09-29 13:15:35
PROD200568,LOC1999,Distributor,184,2025-09-11 19:17:30
PROD201549,LOC2450,Distributor,124,2025-01-15 06:17:27
PROD201685,LOC1093,Distributor,482,2023-07-01 14:53:06
PROD202300,LOC1340,Distributor,868,2023-01-16 18:19:09
PROD201205,LOC2671,Distributor,775,2025-07-26 12:28:56
PROD200548,LOC2624,Store,866,2024-12-25 03:13:12
PROD203544,LOC1332,Warehouse,160,2025-03-04 00:19:59
PROD203406,LOC1911,Store,215,2025-07-26 03:54:04
PROD202086,LOC1442,Distributor,538,2025-01-08 06:06:54
PROD201560,LOC2936,Distributor,229,2024-09-16 09:19:55
PROD201138,LOC1046,Warehouse,540,2024-04-27 16:56:37
PROD203687,LOC1824,Store,831,2024-01-03 04:15:40
PROD202716,LOC1975,Distributor,200,2023-02-18 22:50:15
PROD200614,LOC2624,Warehouse,889,2024-08-12 07:24:02
PROD202485,LOC2959,Distributor,248,2025-03-01 13:09:01
PROD203024,LOC2390,Store,994,2025-05-27 21:32:03
PROD203658,LOC1256,Distributor,172,2024-09-12 07:35:47
PROD203754,LOC2869,Store,285,2023-01-30 11:49:48
PROD201590,LOC2058,Warehouse,532,2023-01-07 17:18:05
PROD204313,LOC1843,Store,100,2024-04-30 14:05:34
PROD204593,LOC1547,Store,280,2025-05-21 16:18:56
PROD200541,LOC1937,Warehouse,154,2024-08-16 03:47:26
PROD202909,LOC2232,Store,531,2023-10-12 00:24:05
PROD201479,LOC2342,Distributor,794,2025-03-14 06:08:32
PROD200076,LOC2337,Store,565,2024-08-07 00:09:35
PROD204712,LOC1042,Distributor,412,2023-05-06 23:38:25
PROD200014,LOC2643,Warehouse,550,2024-03-10 16:56:42
PROD201228,LOC1807,Store,151,2023-06-22 10:41:53
PROD202053,LOC2249,Distributor,902,2025-08-22 19:32:41
PROD202428,LOC1021,Store,126,2024-11-19 19:16:23
PROD202736,LOC1997,Store,370,2023-09-02 07:22:39
PROD203415,LOC2563,Warehouse,24,2025-04-02 05:32:46
PROD201575,LOC1383,Distributor,680,2024-03-04 06:13:15
PROD203227,LOC1903,Store,546,2025-05-09 05:01:04
PROD202775,LOC2019,Distributor,558,2024-03-09 04:50:23
PROD200107,LOC2614,Distributor,132,2025-10-11 03:23:12
PROD201468,LOC1445,Warehouse,592,2024-10-25 17:13:05
PROD201339,LOC1964,Warehouse,604,2023-08-21 13:47:49
PROD202978,LOC1386,Distributor,665,2025-05-29 00:36:49
PROD203315,LOC1935,Warehouse,688,2025-07-02 23:52:26
PROD204126,LOC2002,Distributor,389,2023-12-15 12:49:02
PROD203487,LOC2695,Distributor,498,2023-04-26 08:42:32
PROD203050,LOC2212,Distributor,494,2025-12-08 18:07:20
PROD201252,LOC1839,Warehouse,244,2025-03-03 14:51:10
PROD204648,LOC2689,Distributor,616,2025-06-30 05:01:05
PROD203402,LOC2421,Distributor,540,2023-11-16 18:21:35
PROD200969,LOC2655,Distributor,957,2023-12-09 09:52:38
PROD204669,LOC2574,Warehouse,994,2025-09-21 19:21:41
PROD204747,LOC1276,Warehouse,641,2023-08-05 11:00:39
PROD203895,LOC1760,Store,846,2025-04-25 15:27:44
PROD200418,LOC2304,Store,576,2023-10-30 08:13:58
PROD204805,LOC1055,Warehouse,739,2023-01-08 16:53:16
PROD203428,LOC2994,Warehouse,277,2025-09-20 04:00:44
PROD203372,LOC2970,Store,80,2023-10-29 19:17:51
PROD203017,LOC1974,Distributor,281,2024-02-20 12:46:55
PROD202028,LOC2060,Distributor,538,2024-12-16 20:13:53
PROD201809,LOC1266,Distributor,248,2023-07-18 11:49:55
PROD201213,LOC2657,Warehouse,209,2023-10-29 00:18:59
PROD200062,LOC2819,Warehouse,994,2025-02-27 22:08:42
PROD204467,LOC1172,Distributor,57,2024-06-18 11:09:34
PROD201356,LOC1904,Warehouse,449,2025-12-28 22:05:36
PROD201715,LOC2373,Store,515,2023-03-16 07:02:21
PROD200515,LOC1727,Distributor,936,2023-10-19 13:07:31
PROD204187,LOC1624,Store,916,2025-06-19 03:45:49
PROD201113,LOC1023,Store,761,2025-08-17 03:24:19
PROD201995,LOC2520,Distributor,514,2023-04-06 13:19:28
PROD204119,LOC2455,Warehouse,955,2025-01-06 21:55:39
PROD200105,LOC2922,Distributor,425,2023-07-08 05:41:40
PROD201675,LOC1848,Warehouse,146,2024-02-11 00:33:38
PROD200107,LOC2259,Store,50,2024-09-26 06:58:29
PROD204261,LOC2337,Distributor,689,2023-06-15 06:24:21
PROD203638,LOC1574,Distributor,571,2024-06-11 17:51:18
PROD201028,LOC2140,Warehouse,18,2023-05-02 15:19:59
PROD203875,LOC1238,Warehouse,442,2025-01-23 18:09:46
PROD204591,LOC1914,Warehouse,734,2024-12-22 19:28:10
PROD203661,LOC1372,Warehouse,319,2023-08-30 14:04:51
PROD200942,LOC2521,Warehouse,454,2025-02-05 22:19:08
PROD202748,LOC2516,Warehouse,956,2025-05-15 20:51:54
PROD201493,LOC1482,Warehouse,666,2025-12-11 12:11:07
PROD201722,LOC2271,Warehouse,299,2024-09-28 17:28:43
PROD200572,LOC2594,Distributor,129,2024-02-17 04:39:27
PROD204707,LOC1405,Distributor,971,2025-06-03 17:05:10
PROD202341,LOC2274,Distributor,101,2024-05-12 12:47:04
PROD200863,LOC1932,Store,945,2024-08-05 21:06:28
PROD201517,LOC2365,Distributor,655,2024-08-25 08:15:06
PROD202811,LOC2825,Warehouse,530,2025-05-03 05:38:11
PROD204938,LOC2666,Store,794,2025-11-16 10:31:34
PROD202648,LOC2715,Store,885,2023-12-25 15:56:41
PROD204185,LOC2389,Distributor,90,2023-10-26 23:55:09
PROD204692,LOC1423,Distributor,668,2024-02-21 23:34:29
PROD200227,LOC1696,Warehouse,347,2025-03-19 16:05:47
PROD204522,LOC1515,Distributor,536,2025-12-04 05:05:03
PROD200354,LOC2746,Store,804,2024-10-22 13:30:41
PROD201399,LOC1479,Warehouse,220,2023-04-14 11:13:33
PROD202457,LOC2653,Store,864,2023-06-07 07:05:25
PROD201991,LOC2687,Warehouse,659,2023-01-05 21:49:57
PROD202402,LOC2180,Distributor,887,2025-03-20 12:50:59
PROD200066,LOC2439,Warehouse,509,2024-04-01 02:20:22
PROD204360,LOC1677,Distributor,605,2023-04-24 02:04:56
PROD200494,LOC2493,Distributor,278,2025-07-13 20:20:28
PROD204163,LOC2454,Distributor,345,2025-10-05 16:13:57
PROD204507,LOC1626,Store,537,2025-04-30 04:43:03
PROD204187,LOC2675,Distributor,813,2023-09-12 08:25:47
PROD202025,LOC2425,Warehouse,365,2024-02-04 09:46:36
PROD204008,LOC1422,Store,190,2025-01-06 22:10:24
PROD200630,LOC2639,Warehouse,912,2023-11-19 13:33:08
PROD203472,LOC2690,Store,354,2025-11-02 06:49:09
PROD202310,LOC2759,Warehouse,516,2024-12-28 21:30:41
PROD203132,LOC1208,Warehouse,57,2024-08-21 01:57:02
PROD202288,LOC2001,Warehouse,449,2024-01-12 04:29:08
PROD202579,LOC1944,Store,481,2025-09-15 05:41:11
PROD200210,LOC1194,Distributor,181,2023-04-27 10:10:18
PROD204165,LOC1995,Store,216,2024-11-08 13:33:44
PROD200349,LOC2680,Distributor,817,2023-09-01 09:31:05
PROD200432,LOC2892,Distributor,901,2025-04-23 12:41:24
PROD201437,LOC2586,Distributor,422,2025-06-01 20:10:25
PROD204381,LOC2515,Warehouse,860,2023-11-04 23:46:50
PROD203582,LOC2160,Warehouse,613,2023-01-23 14:40:12
PROD202132,LOC1567,Warehouse,860,2025-02-28 18:54:18
PROD204009,LOC2805,Distributor,191,2025-10-06 00:25:31
PROD203811,LOC1618,Warehouse,480,2024-07-31 23:13:16
PROD201180,LOC2600,Store,89,2024-02-08 22:39:05
PROD203680,LOC1241,Warehouse,49,2025-05-13 06:13:56
PROD202164,LOC1755,Store,193,2023-01-05 12:09:35
PROD201146,LOC2237,Distributor,897,2025-11-06 04:51:21
PROD203485,LOC1250,Distributor,575,2023-08-11 05:59:14
PROD201968,LOC2769,Distributor,450,2025-08-02 05:18:05
PROD201157,LOC2807,Store,756,2024-10-04 00:50:43
PROD204391,LOC2961,Store,672,2023-11-11 21:43:46
PROD203455,LOC2517,Warehouse,475,2023-06-01 15:54:22
PROD200125,LOC1125,Store,25,2024-07-17 14:50:07
PROD202812,LOC1722,Warehouse,577,2025-12-09 06:33:50
PROD202580,LOC2016,Store,908,2023-06-25 23:22:14
PROD201920,LOC2981,Warehouse,775,2024-10-26 02:00:47
PROD200235,LOC1310,Warehouse,709,2025-04-24 16:00:45
PROD203525,LOC2056,Store,920,2023-02-06 04:29:53
PROD201205,LOC1158,Warehouse,21,2024-12-16 14:17:24
PROD203395,LOC1560,Warehouse,596,2025-12-25 14:43:53
PROD201149,LOC1929,Store,993,2024-01-15 09:41:45
PROD201815,LOC2766,Distributor,985,2025-08-29 12:38:34
PROD200484,LOC1102,Distributor,145,2023-04-28 15:16:18
PROD200860,LOC2014,Distributor,931,2024-08-31 19:44:42
PROD203810,LOC1470,Store,732,2024-01-09 02:14:36
PROD201094,LOC1098,Store,482,2024-07-21 00:04:53
PROD203727,LOC1163,Warehouse,946,2025-12-03 11:09:16
PROD200660,LOC2642,Warehouse,442,2025-08-19 07:17:42
PROD203609,LOC1248,Warehouse,798,2023-08-25 15:54:49
PROD200990,LOC2937,Distributor,456,2023-08-13 22:39:15
PROD201789,LOC1405,Store,493,2023-09-02 10:10:32
PROD202383,LOC1999,Store,233,2025-02-19 21:01:02
PROD201291,LOC1050,Store,172,2023-04-02 04:22:13
PROD202920,LOC2063,Warehouse,445,2024-04-29 18:51:19
PROD200361,LOC2342,Distributor,265,2024-02-12 07:45:45
PROD201001,LOC2133,Store,456,2023-01-19 06:29:11
PROD204737,LOC2278,Distributor,623,2023-04-14 11:03:12
PROD204341,LOC1474,Warehouse,763,2023-06-30 11:37:52
PROD201423,LOC1956,Store,647,2023-08-23 11:38:48
PROD201685,LOC1315,Distributor,443,2025-12-26 05:50:29
PROD204274,LOC1359,Store,187,2023-10-25 23:29:31
PROD204748,LOC1538,Distributor,125,2023-09-27 12:31:29
PROD203690,LOC2625,Store,184,2023-08-10 13:15:39
PROD204774,LOC1061,Store,914,2025-06-27 15:04:40
PROD200324,LOC2612,Warehouse,546,2023-10-15 00:59:09
PROD200818,LOC2297,Distributor,530,2025-11-25 14:27:37
PROD201611,LOC2790,Distributor,793,2024-12-05 20:44:57
PROD203506,LOC2367,Store,252,2023-05-30 04:33:23
PROD202797,LOC2581,Warehouse,443,2024-07-14 20:57:07
PROD204325,LOC2190,Distributor,278,2024-12-18 13:42:11
PROD203984,LOC2814,Warehouse,714,2024-11-06 06:26:21
PROD204164,LOC2958,Distributor,146,2025-08-23 08:36:05
PROD204926,LOC2560,Distributor,431,2025-01-31 20:31:57
PROD204875,LOC2270,Distributor,34,2023-06-18 13:42:30
PROD201980,LOC2249,Warehouse,371,2023-01-13 06:57:09
PROD201731,LOC1491,Distributor,863,2025-06-01 15:56:20
PROD203252,LOC1809,Store,755,2025-11-28 02:33:55
PROD203162,LOC2543,Store,238,2025-10-06 17:36:45
PROD201337,LOC2365,Warehouse,873,2023-06-11 14:14:43
PROD200129,LOC2884,Store,121,2024-07-15 08:09:14
PROD203342,LOC2271,Store,349,2024-04-28 14:03:50
PROD203570,LOC1528,Distributor,751,2024-12-22 21:56:40
PROD203589,LOC2359,Store,914,2025-05-26 21:06:53
PROD201080,LOC2355,Warehouse,241,2024-07-19 20:23:16
PROD203192,LOC2351,Distributor,992,2024-04-23 22:00:13
PROD204789,LOC2751,Store,42,2025-10-31 02:27:51
PROD204959,LOC2457,Store,657,2024-05-31 16:31:38
PROD201410,LOC2935,Warehouse,826,2025-07-29 03:45:43
PROD204288,LOC1497,Distributor,31,2023-10-03 17:20:45
PROD201896,LOC1604,Distributor,651,2025-10-22 14:35:40
PROD204282,LOC2668,Warehouse,398,2025-04-19 08:39:07
PROD202573,LOC2872,Distributor,555,2023-06-20 04:09:32
PROD202429,LOC1040,Store,129,2023-07-02 05:31:20
