sale_id,customer_id,customer_type,product_id,store_id,distributor_id,dealer_id,brand_store_id,supplier_id,division,quantity,sale_amount,discount_amount,sale_ts,channel
SALE2000033,CUST104475,Organization,PROD203753,STORE51057,DIST30594,DEAL40242,BRAND20522,SUPP80287,Distributors,35,20163.83,147.81,2023-05-07 02:47:49,Offline
SALE2000034,CUST100916,Individual,PROD203785,STORE50436,DIST31247,DEAL40870,BRAND20589,SUPP80542,Industrial,50,117731.41,143.43,2025-09-10 17:41:26,Project
SALE2000035,CUST102977,Organization,PROD204882,STORE50614,DIST31071,DEAL41201,BRAND20748,SUPP80478,LocalShop,7,10713.71,106.29,2025-12-02 10:49:32,Project
SALE2000036,CUST104607,Organization,PROD200795,STORE51991,DIST31068,DEAL41722,BRAND20871,SUPP80795,Retail,49,65174.91,134.0,2025-01-11 01:23:40,Online
SALE2000037,CUST104275,Organization,PROD202713,STORE50755,DIST31317,DEAL41993,BRAND20859,SUPP80687,LocalShop,26,21334.07,133.24,2024-10-14 15:47:04,Online
SALE2000038,CUST101405,Individual,PROD204735,STORE50858,DIST31446,DEAL40548,BRAND20705,SUPP80607,BrandStore,44,125965.76,41.44,2025-06-04 01:43:14,Project
SALE2000039,CUST102298,Organization,PROD202933,STORE51991,DIST31720,DEAL40342,BRAND20203,SUPP80165,Retail,14,35508.24,88.98,2025-12-21 06:53:56,Project
SALE2000040,CUST102270,Individual,PROD202257,STORE50927,DIST31463,DEAL40896,BRAND20611,SUPP80439,Distributors,47,9247.23,71.93,2024-04-25 10:50:50,Online
SALE2000041,CUST100220,Individual,PROD202416,STORE51043,DIST30122,DEAL41241,BRAND20381,SUPP80778,Industrial,6,4043.47,65.74,2023-06-18 11:25:14,Project
SALE2000042,CUST100078,Organization,PROD202674,STORE51959,DIST31782,DEAL40025,BRAND20099,SUPP80202,Retail,23,29854.61,151.87,2023-11-02 01:44:36,Online
SALE2000043,CUST101835,Organization,PROD202126,STORE50275,DIST31219,DEAL40762,BRAND20966,SUPP80573,BrandStore,35,80493.66,142.62,2024-01-29 06:44:27,Offline
SALE2000044,CUST102518,Organization,PROD203163,STORE50536,DIST30580,DEAL40494,BRAND20564,SUPP80908,BrandStore,24,18024.25,145.37,2024-06-13 19:19:11,Online
SALE2000045,CUST101705,Organization,PROD204756,STORE50098,DIST30025,DEAL40497,BRAND20708,SUPP80063,Retail,3,4673.52,170.9,2025-04-03 00:41:57,Online
SALE2000046,CUST101041,Organization,PROD200625,STORE50662,DIST31743,DEAL40473,BRAND20161,SUPP80199,Projects,7,9209.91,120.32,2023-05-12 13:43:25,Project
SALE2000047,CUST102000,Organization,PROD203893,STORE50067,DIST31231,DEAL41882,BRAND20661,SUPP80651,Industrial,14,13060.86,43.66,2023-03-19 22:28:53,Project
SALE2000048,CUST104650,Individual,PROD200579,STORE50880,DIST31939,DEAL40210,BRAND20346,SUPP80386,Projects,39,22095.09,79.45,2025-06-07 09:10:51,Online
SALE2000049,CUST104307,Individual,PROD200874,STORE50054,DIST30069,DEAL40880,BRAND20028,SUPP80315,Projects,39,8680.23,111.55,2025-08-22 12:29:22,Project
SALE2000050,CUST100542,Organization,PROD203652,STORE50777,DIST31930,DEAL41618,BRAND20356,SUPP80468,Retail,33,23843.69,116.4,2023-09-19 20:57:01,Project
SALE2000051,CUST101097,Organization,PROD203987,STORE50753,DIST31616,DEAL40894,BRAND20958,SUPP80086,Dealers,5,1031.27,181.95,2025-01-24 00:35:01,Online
SALE2000052,CUST104686,Organization,PROD201209,STORE51662,DIST31968,DEAL40145,BRAND20683,SUPP80480,Projects,12,30701.56,37.14,2024-09-27 00:41:59,Project
SALE2000053,CUST103710,Organization,PROD202202,STORE51476,DIST30030,DEAL41369,BRAND20168,SUPP80125,Retail,49,30451.82,77.69,2023-01-07 03:39:21,Online
SALE2000054,CUST102154,Organization,PROD201415,STORE51812,DIST30706,DEAL40975,BRAND20718,SUPP80135,Distributors,48,50455.3,183.23,2025-02-21 23:26:13,Offline
SALE2000055,CUST102196,Organization,PROD200146,STORE50100,DIST30180,DEAL41490,BRAND20386,SUPP80019,LocalShop,40,17761.92,23.52,2024-04-06 17:04:42,Offline
SALE2000056,CUST102763,Organization,PROD203342,STORE51424,DIST30077,DEAL41470,BRAND20810,SUPP80663,Dealers,5,4244.04,165.93,2024-09-05 22:34:29,Offline
SALE2000057,CUST103194,Individual,PROD200278,STORE51647,DIST31511,DEAL40542,BRAND20437,SUPP80326,Retail,31,47132.78,29.98,2023-07-24 12:04:11,Online
SALE2000058,CUST100048,Organization,PROD201893,STORE51476,DIST30688,DEAL41522,BRAND20458,SUPP80736,Distributors,29,44723.43,111.22,2024-04-23 04:08:00,Online
SALE2000059,CUST103129,Individual,PROD204724,STORE51414,DIST30964,DEAL40378,BRAND20289,SUPP80927,Projects,47,82000.92,21.43,2023-06-15 20:58:22,Project
SALE2000060,CUST104125,Individual,PROD203742,STORE51317,DIST31464,DEAL41304,BRAND20640,SUPP80805,Industrial,45,87418.5,180.49,2025-05-20 07:20:40,Online
SALE2000061,CUST102814,Organization,PROD203924,STORE51774,DIST31157,DEAL40476,BRAND20454,SUPP80154,Dealers,2,4497.14,66.66,2024-03-23 12:59:21,Offline
SALE2000062,CUST104670,Organization,PROD200111,STORE50855,DIST31398,DEAL41069,BRAND20199,SUPP80372,Projects,33,29954.81,2.73,2023-09-30 21:04:38,Offline
SALE2000063,CUST100741,Individual,PROD203765,STORE51074,DIST31519,DEAL40802,BRAND20204,SUPP80457,Projects,16,11818.22,107.23,2023-04-16 05:16:53,Offline
SALE2000064,CUST100168,Organization,PROD200798,STORE51449,DIST31812,DEAL41865,BRAND20324,SUPP80742,Industrial,23,42738.45,80.99,2024-09-14 17:58:21,Online
SALE2000065,CUST100347,Individual,PROD201042,STORE50252,DIST31340,DEAL41428,BRAND20037,SUPP80871,Distributors,4,11615.98,0.03,2023-05-30 04:56:28,Offline
SALE2000066,CUST101016,Individual,PROD201224,STORE51698,DIST30363,DEAL40597,BRAND20380,SUPP80529,LocalShop,13,4021.71,187.07,2024-11-06 07:22:44,Offline
SALE2000067,CUST102347,Individual,PROD204098,STORE50515,DIST30928,DEAL41829,BRAND20241,SUPP80710,LocalShop,31,91102.89,46.61,2025-03-19 18:45:19,Offline
SALE2000068,CUST104420,Organization,PROD201471,STORE51264,DIST31060,DEAL40896,BRAND20349,SUPP80854,Dealers,14,14695.84,165.84,2025-12-17 11:34:40,Online
SALE2000069,CUST103841,Organization,PROD203573,STORE50442,DIST30696,DEAL41260,BRAND20697,SUPP80031,LocalShop,42,78680.48,36.09,2023-05-19 21:54:27,Offline
SALE2000070,CUST103215,Organization,PROD203526,STORE50139,DIST30107,DEAL41198,BRAND20926,SUPP80501,Distributors,47,124019.28,25.38,2023-06-15 14:05:52,Project
SALE2000071,CUST103697,Organization,PROD202899,STORE50725,DIST30877,DEAL41933,BRAND20694,SUPP80222,Distributors,5,2926.67,172.2,2025-02-14 05:35:19,Offline
SALE2000072,CUST101353,Individual,PROD202396,STORE50155,DIST30899,DEAL41106,BRAND20108,SUPP80850,BrandStore,47,30063.69,193.34,2023-01-18 23:00:57,Online
SALE2000073,CUST104090,Individual,PROD201293,STORE50808,DIST30221,DEAL41380,BRAND20823,SUPP80677,BrandStore,30,17415.51,83.96,2025-03-02 08:23:50,Offline
SALE2000074,CUST102708,Individual,PROD204852,STORE50820,DIST31071,DEAL41160,BRAND20988,SUPP80404,Retail,40,54026.53,14.21,2023-01-10 04:35:15,Offline
SALE2000075,CUST100722,Organization,PROD202672,STORE51349,DIST30566,DEAL41107,BRAND20618,SUPP80822,Projects,17,38953.08,125.2,2025-04-14 02:09:39,Online
SALE2000076,CUST102716,Organization,PROD204407,STORE51727,DIST30473,DEAL40894,BRAND20159,SUPP80010,Distributors,37,90548.41,164.87,2024-03-20 10:47:55,Project
SALE2000077,CUST101862,Organization,PROD200381,STORE50012,DIST30145,DEAL40571,BRAND20282,SUPP80953,Dealers,30,3233.06,83.77,2025-08-02 16:13:32,Online
SALE2000078,CUST100954,Organization,PROD204127,STORE51860,DIST31276,DEAL41709,BRAND20716,SUPP80519,Dealers,25,33653.62,79.97,2023-01-25 03:48:04,Offline
SALE2000079,CUST103611,Individual,PROD202504,STORE52000,DIST31088,DEAL40060,BRAND20828,SUPP80304,BrandStore,1,1929.11,165.12,2023-02-26 13:40:29,Online
SALE2000080,CUST102339,Organization,PROD202532,STORE50379,DIST30446,DEAL41053,BRAND20781,SUPP80576,Dealers,29,4615.97,65.23,2024-06-21 11:27:53,Offline
SALE2000081,CUST103925,Organization,PROD201869,STORE51832,DIST31697,DEAL40848,BRAND20140,SUPP80982,LocalShop,43,116175.58,185.79,2025-01-15 12:09:35,Offline
SALE2000082,CUST100586,Individual,PROD200859,STORE50087,DIST30414,DEAL40558,BRAND20676,SUPP80075,Projects,11,14143.32,104.8,2024-05-08 09:16:30,Offline
SALE2000083,CUST104403,Organization,PROD202528,STORE50111,DIST30694,DEAL41294,BRAND20384,SUPP80190,Dealers,3,6487.98,37.93,2025-09-20 00:45:53,Offline
SALE2000084,CUST101902,Individual,PROD202276,STORE50753,DIST31562,DEAL40293,BRAND20616,SUPP80074,Distributors,26,61241.77,123.64,2023-09-10 23:45:26,Project
SALE2000085,CUST103362,Organization,PROD201376,STORE51776,DIST31288,DEAL40546,BRAND20783,SUPP80846,Industrial,39,6519.78,114.52,2024-10-28 03:19:56,Offline
SALE2000086,CUST100208,Organization,PROD201733,STORE50246,DIST30064,DEAL40857,BRAND20653,SUPP80352,LocalShop,22,56318.65,82.7,2023-02-11 12:21:09,Project
SALE2000087,CUST104493,Individual,PROD203687,STORE51357,DIST31732,DEAL40715,BRAND20086,SUPP80909,BrandStore,18,39747.96,9.08,2023-12-30 01:35:41,Offline
SALE2000088,CUST102145,Individual,PROD204640,STORE51651,DIST30340,DEAL41476,BRAND20683,SUPP80648,Dealers,22,50402.01,196.23,2025-01-02 04:33:25,Online
SALE2000089,CUST101404,Organization,PROD202680,STORE51182,DIST31493,DEAL40120,BRAND20123,SUPP80571,Dealers,21,9025.47,85.7,2025-07-19 14:15:40,Project
SALE2000090,CUST101486,Individual,PROD202065,STORE51203,DIST31387,DEAL41446,BRAND20677,SUPP80532,Distributors,41,44849.64,114.92,2023-03-15 18:10:28,Offline
SALE2000091,CUST104689,Organization,PROD203216,STORE51313,DIST30967,DEAL41979,BRAND20184,SUPP80214,Distributors,26,71209.23,101.72,2023-12-16 05:09:11,Project
SALE2000092,CUST100536,Organization,PROD200355,STORE51305,DIST30189,DEAL40244,BRAND20367,SUPP80438,Dealers,28,68587.17,131.48,2023-01-23 17:52:34,Online
SALE2000093,CUST104746,Organization,PROD200027,STORE51048,DIST31067,DEAL40429,BRAND20847,SUPP80436,Distributors,37,58800.12,24.81,2025-12-09 23:25:39,Project
SALE2000094,CUST100527,Individual,PROD201005,STORE50228,DIST30659,DEAL40451,BRAND20644,SUPP80376,Industrial,50,54888.75,84.02,2023-04-03 09:35:43,Offline
SALE2000095,CUST100338,Individual,PROD202410,STORE51791,DIST31234,DEAL41915,BRAND20365,SUPP80315,Distributors,1,2951.69,123.82,2025-12-03 14:47:31,Online
SALE2000096,CUST100843,Organization,PROD204836,STORE50947,DIST31992,DEAL40128,BRAND20883,SUPP80812,Projects,22,45403.95,171.14,2023-01-17 07:18:58,Offline
SALE2000097,CUST103673,Individual,PROD203838,STORE51941,DIST30031,DEAL40949,BRAND20857,SUPP80920,LocalShop,21,56338.67,116.03,2023-07-24 07:35:53,Project
SALE2000098,CUST101280,Organization,PROD204902,STORE51302,DIST31840,DEAL41534,BRAND20339,SUPP80650,LocalShop,30,56054.39,176.86,2024-10-15 10:55:51,Offline
SALE2000099,CUST102001,Organization,PROD201290,STORE50821,DIST31291,DEAL41414,BRAND20914,SUPP80740,LocalShop,50,141878.45,156.74,2025-05-15 00:38:31,Offline
SALE2000100,CUST103172,Individual,PROD202220,STORE51520,DIST31692,DEAL40117,BRAND20639,SUPP80841,Industrial,49,45916.39,188.29,2023-07-01 12:52:29,Offline
SALE2000101,CUST104862,Individual,PROD201885,STORE50718,DIST31044,DEAL40603,BRAND20717,SUPP80799,Industrial,14,31775.75,177.64,2024-04-20 05:46:55,Online
SALE2000102,CUST101920,Organization,PROD204046,STORE50556,DIST30020,DEAL41384,BRAND20396,SUPP80121,Projects,41,55443.12,15.31,2025-02-26 04:15:37,Project
SALE2000103,CUST100641,Individual,PROD200788,STORE51201,DIST30054,DEAL40122,BRAND20199,SUPP80664,Industrial,1,1294.57,149.18,2025-12-23 17:36:10,Project
SALE2000104,CUST101518,Individual,PROD200964,STORE50903,DIST30790,DEAL41939,BRAND20841,SUPP80798,BrandStore,3,3948.1,157.84,2023-09-14 00:16:37,Offline
SALE2000105,CUST104299,Individual,PROD203940,STORE51247,DIST30488,DEAL40652,BRAND20791,SUPP80626,Dealers,32,67377.65,108.39,2024-01-01 02:28:55,Offline
SALE2000106,CUST104791,Individual,PROD204226,STORE50429,DIST30994,DEAL40110,BRAND20788,SUPP80489,Distributors,29,19912.7,95.93,2025-05-29 17:31:53,Project
SALE2000107,CUST102321,Organization,PROD202243,STORE50369,DIST31504,DEAL40204,BRAND20859,SUPP80012,Dealers,24,59242.24,96.49,2023-02-05 12:29:54,Project
SALE2000108,CUST104581,Individual,PROD201075,STORE51025,DIST30418,DEAL41882,BRAND20518,SUPP80746,Industrial,30,57544.04,56.97,2025-05-12 11:46:49,Online
SALE2000109,CUST104357,Individual,PROD201206,STORE50770,DIST30744,DEAL41140,BRAND20841,SUPP80966,LocalShop,49,9171.54,144.37,2025-06-20 14:11:04,Online
SALE2000110,CUST101382,Individual,PROD201184,STORE51162,DIST30283,DEAL40353,BRAND20132,SUPP80144,LocalShop,16,10491.53,144.8,2023-01-29 17:28:52,Offline
SALE2000111,CUST100011,Individual,PROD204364,STORE50895,DIST30877,DEAL40792,BRAND20497,SUPP80503,Dealers,4,3701.02,59.25,2025-01-04 23:22:43,Online
SALE2000112,CUST100805,Organization,PROD203597,STORE50499,DIST31911,DEAL41060,BRAND20453,SUPP80349,LocalShop,40,119888.83,123.53,2023-06-18 18:22:13,Project
SALE2000113,CUST104294,Individual,PROD202410,STORE51286,DIST31424,DEAL40893,BRAND20038,SUPP80228,Projects,45,95696.06,56.16,2025-03-01 03:26:43,Project
SALE2000114,CUST103157,Organization,PROD200281,STORE50658,DIST31959,DEAL40670,BRAND20508,SUPP80471,Industrial,41,97266.44,118.64,2023-01-18 07:41:27,Online
SALE2000115,CUST104889,Individual,PROD203078,STORE51812,DIST31323,DEAL41988,BRAND20062,SUPP80288,BrandStore,34,34414.45,137.45,2025-05-30 18:06:29,Project
SALE2000116,CUST100251,Organization,PROD202381,STORE50706,DIST31727,DEAL41675,BRAND20559,SUPP80218,Projects,17,6645.41,63.76,2025-04-13 05:55:43,Online
SALE2000117,CUST101716,Organization,PROD203376,STORE51517,DIST30742,DEAL41551,BRAND20346,SUPP80328,Distributors,21,51073.69,128.49,2025-07-17 11:34:46,Offline
SALE2000118,CUST103570,Individual,PROD202639,STORE51874,DIST30374,DEAL41277,BRAND20861,SUPP80695,Retail,8,11340.15,20.53,2023-12-18 11:42:05,Project
SALE2000119,CUST102466,Individual,PROD203755,STORE51079,DIST31243,DEAL40858,BRAND20984,SUPP80907,BrandStore,10,25293.43,170.75,2025-01-03 11:36:45,Project
SALE2000120,CUST100256,Organization,PROD201454,STORE51696,DIST31445,DEAL41582,BRAND20605,SUPP80443,Projects,45,69097.85,148.65,2024-08-20 22:05:56,Project
SALE2000121,CUST102597,Organization,PROD202265,STORE51621,DIST31961,DEAL41219,BRAND20426,SUPP80622,BrandStore,22,19004.93,77.85,2024-07-12 02:31:49,Offline
SALE2000122,CUST104167,Organization,PROD203516,STORE50015,DIST30534,DEAL41834,BRAND20107,SUPP80389,BrandStore,6,7742.09,151.07,2023-08-07 08:27:16,Online
SALE2000123,CUST103200,Individual,PROD203958,STORE51748,DIST30194,DEAL41249,BRAND20694,SUPP80332,LocalShop,20,33636.05,74.36,2023-01-18 12:27:27,Online
SALE2000124,CUST100889,Organization,PROD201820,STORE50014,DIST31553,DEAL41012,BRAND20794,SUPP80968,Distributors,36,30090.5,174.48,2025-12-16 20:51:28,Online
SALE2000125,CUST102304,Individual,PROD204991,STORE51006,DIST31704,DEAL40662,BRAND20813,SUPP80081,Distributors,33,39098.95,23.59,2023-07-02 03:26:43,Project
SALE2000126,CUST102190,Individual,PROD204401,STORE50016,DIST30585,DEAL41077,BRAND20607,SUPP80513,Distributors,6,4749.72,40.02,2025-08-18 14:07:22,Offline
SALE2000127,CUST103458,Individual,PROD202884,STORE51421,DIST30892,DEAL41934,BRAND20258,SUPP80018,Projects,28,19141.83,2.08,2023-07-09 00:25:39,Online
SALE2000128,CUST100628,Organization,PROD202966,STORE51141,DIST31301,DEAL40328,BRAND20954,SUPP80401,Retail,46,52749.41,15.12,2023-10-08 09:02:37,Online
SALE2000129,CUST101149,Individual,PROD204463,STORE51445,DIST31194,DEAL40393,BRAND20063,SUPP80126,Industrial,26,52868.5,156.84,2023-02-22 08:02:25,Offline
SALE2000130,CUST100442,Individual,PROD201398,STORE51535,DIST31383,DEAL41870,BRAND20507,SUPP80597,Retail,4,1655.28,126.17,2023-03-19 16:55:26,Project
SALE2000131,CUST103911,Individual,PROD200159,STORE51399,DIST30793,DEAL41534,BRAND20416,SUPP80308,LocalShop,26,21416.32,35.64,2024-07-01 21:20:47,Online
SALE2000132,CUST100380,Individual,PROD202542,STORE51299,DIST31404,DEAL41959,BRAND20280,SUPP80893,Retail,7,2082.81,62.77,2024-02-27 18:28:56,Project
SALE2000133,CUST101880,Organization,PROD203688,STORE51417,DIST30186,DEAL41698,BRAND20969,SUPP80147,Projects,14,20024.02,184.65,2025-07-12 11:42:21,Offline
SALE2000134,CUST102120,Individual,PROD201985,STORE50028,DIST31685,DEAL41279,BRAND20087,SUPP80650,Retail,32,85592.04,26.88,2025-08-15 09:28:59,Offline
SALE2000135,CUST103060,Individual,PROD200184,STORE50268,DIST31155,DEAL40233,BRAND20017,SUPP80187,Industrial,42,20512.49,98.65,2024-01-10 17:53:08,Offline
SALE2000136,CUST101087,Organization,PROD204101,STORE50689,DIST31462,DEAL40172,BRAND20740,SUPP80855,Distributors,48,32486.88,174.38,2025-03-16 22:33:49,Online
SALE2000137,CUST103427,Organization,PROD203358,STORE50447,DIST30867,DEAL40587,BRAND20699,SUPP80099,Projects,39,55039.03,49.51,2025-05-26 15:51:18,Project
SALE2000138,CUST103337,Individual,PROD200405,STORE51645,DIST31448,DEAL40437,BRAND20945,SUPP80712,BrandStore,44,112805.23,149.65,2023-09-12 18:21:04,Project
SALE2000139,CUST101324,Organization,PROD200112,STORE50386,DIST31284,DEAL41330,BRAND20715,SUPP80275,Retail,23,12791.9,163.14,2025-03-22 02:22:19,Online
SALE2000140,CUST103127,Individual,PROD201225,STORE51528,DIST30773,DEAL41857,BRAND20435,SUPP80226,Dealers,11,10352.23,83.34,2024-10-08 21:55:44,Online
SALE2000141,CUST104843,Individual,PROD204107,STORE50242,DIST31864,DEAL41265,BRAND20953,SUPP80957,Projects,22,20019.56,35.18,2023-12-13 12:14:56,Project
SALE2000142,CUST100358,Organization,PROD203231,STORE50483,DIST31782,DEAL40166,BRAND20905,SUPP80542,BrandStore,24,37400.8,128.0,2025-05-11 19:43:10,Online
SALE2000143,CUST104320,Organization,PROD200975,STORE50296,DIST30796,DEAL40514,BRAND20915,SUPP80146,Industrial,45,86987.75,92.26,2024-02-26 22:05:32,Offline
SALE2000144,CUST103049,Individual,PROD203267,STORE51251,DIST30900,DEAL41781,BRAND20806,SUPP80931,LocalShop,4,1883.14,168.37,2023-02-22 23:47:30,Project
SALE2000145,CUST101142,Individual,PROD203127,STORE50791,DIST30951,DEAL41833,BRAND20513,SUPP80184,LocalShop,10,6181.97,129.38,2023-02-16 01:58:27,Offline
SALE2000146,CUST101543,Individual,PROD204774,STORE51409,DIST30392,DEAL40162,BRAND20415,SUPP80950,Retail,48,5384.19,127.08,2025-06-20 06:59:45,Online
SALE2000147,CUST100136,Organization,PROD200757,STORE50690,DIST31887,DEAL41870,BRAND20095,SUPP80204,Distributors,15,8716.96,4.1,2023-06-06 15:02:15,Offline
SALE2000148,CUST103478,Individual,PROD200404,STORE50047,DIST30153,DEAL40277,BRAND20003,SUPP80442,BrandStore,34,85795.88,88.04,2023-10-23 21:24:46,Offline
SALE2000149,CUST100136,Individual,PROD204472,STORE51471,DIST30285,DEAL40084,BRAND20787,SUPP80332,BrandStore,1,1150.35,86.69,2025-04-27 13:00:16,Online
SALE2000150,CUST104786,Organization,PROD203895,STORE50560,DIST31040,DEAL40263,BRAND20863,SUPP80174,LocalShop,16,21816.58,16.59,2024-12-22 23:53:06,Offline
SALE2000151,CUST101240,Organization,PROD202032,STORE51536,DIST31288,DEAL40795,BRAND20108,SUPP80195,Dealers,50,7761.04,192.73,2025-06-23 09:49:31,Online
SALE2000152,CUST104031,Individual,PROD204484,STORE51848,DIST31978,DEAL40006,BRAND20588,SUPP80733,LocalShop,24,31418.69,75.38,2024-07-22 03:56:52,Project
SALE2000153,CUST100508,Organization,PROD201004,STORE50072,DIST30294,DEAL40587,BRAND20773,SUPP80272,Projects,31,52475.05,111.49,2024-09-09 13:56:20,Online
SALE2000154,CUST102618,Individual,PROD200041,STORE50162,DIST31190,DEAL41801,BRAND20429,SUPP80072,Projects,50,63581.22,103.33,2025-09-28 12:35:05,Offline
SALE2000155,CUST101296,Organization,PROD202373,STORE50784,DIST31897,DEAL40245,BRAND20250,SUPP80181,Industrial,9,3608.5,186.34,2023-11-01 10:13:55,Project
SALE2000156,CUST104124,Organization,PROD201389,STORE50821,DIST30466,DEAL40247,BRAND20977,SUPP80859,Dealers,28,32209.3,101.39,2023-06-13 13:38:58,Offline
