interaction_id,ticket_id,order_id,interaction_date,customer_id,customer_name,customer_type,channel,region,state,city,pin_code,restaurant_name,cuisine_type,order_value,discount_amount,net_value,feedback_language,feedback_text,social_post_text,complaint_flag,complaint_category_manual,sentiment_manual,resolution_status,call_audio_stage_path,invoice_pdf_stage_path
17,TKT-20240017,ORD-2024100017,2024-03-03,378308,Customer_378308,RESTAURANT,TWITTER,East,West Bengal,Kolkata,157578,Tandoori Flames,Mughlai,153.87,15.39,138.48,en,Refund is taking too long to process after cancellation.,"Order came cold and super late, not cool @swiggy_in",0,General Feedback,Negative,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100017.pdf
18,TKT-20240018,ORD-2024100018,2024-05-16,981694,Customer_981694,DELIVERY_PARTNER,TWITTER,North,Uttar Pradesh,Lucknow,460766,Pizza Palace,Pizza,800.24,80.02,720.22,ta,"Food was hot and on time, very happy with the service.","Loved the quick delivery and polite partner, thanks @swiggy_in",0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100018.pdf
19,TKT-20240019,ORD-2024100019,2024-03-08,600508,Customer_600508,RESTAURANT,APP,North,Rajasthan,Jaipur,668236,Meghna Foods,Biryani,555.57,27.78,527.79,bn,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100019.pdf
20,TKT-20240020,ORD-2024100020,2024-12-27,708283,Customer_708283,CONSUMER,WHATSAPP,West,Maharashtra,Pune,338631,Truffles,Burgers,374.21,56.13,318.08,ta,Delivery partner was rude and did not follow instructions.,,0,General Feedback,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100020.pdf
21,TKT-20240021,ORD-2024100021,2024-04-11,148885,Customer_148885,DELIVERY_PARTNER,TWITTER,North,Delhi,New Delhi,900961,Bombay Chaats,Street Food,282.25,42.34,239.91,hi,Restaurant maintained good hygiene and quality. Food temperature was low and not enjoyable on arrival.,"Loved the quick delivery and polite partner, thanks @swiggy_in",1,Cold Food,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100021.pdf
22,TKT-20240022,ORD-2024100022,2024-09-23,171067,Customer_171067,RESTAURANT,EMAIL,West,Maharashtra,Pune,936520,Healthy Greens,Salads,173.61,26.04,147.57,ml,Seamless app experience and quick delivery.,,0,General Feedback,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100022.pdf
23,TKT-20240023,ORD-2024100023,2024-04-09,321910,Customer_321910,CONSUMER,APP,South,Telangana,Hyderabad,318287,Truffles,Burgers,733.29,0.0,733.29,te,Order arrived very late and the food was cold.,,0,General Feedback,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100023.pdf
24,TKT-20240024,ORD-2024100024,2024-08-11,832771,Customer_832771,DELIVERY_PARTNER,CALL_CENTER,South,Tamil Nadu,Chennai,218194,Idli Express,South Indian,456.8,0.0,456.8,ml,Seamless app experience and quick delivery. One or more dishes did not match the original order.,,1,Wrong Item,Positive,IN_PROGRESS,@swiggy_media_stage/calls/call_24.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100024.pdf
25,TKT-20240025,ORD-2024100025,2024-09-18,794599,Customer_794599,DELIVERY_PARTNER,EMAIL,West,Gujarat,Ahmedabad,298136,Tandoori Flames,Mughlai,229.02,34.35,194.67,en,Order arrived very late and the food was cold. Customer shared overall experience and suggestions.,,1,General Feedback,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100025.pdf
26,TKT-20240026,ORD-2024100026,2024-03-03,582454,Customer_582454,DELIVERY_PARTNER,TWITTER,North,Uttar Pradesh,Lucknow,118268,Healthy Greens,Salads,468.31,23.42,444.89,te,"Food was hot and on time, very happy with the service.","Loved the quick delivery and polite partner, thanks @swiggy_in",0,General Feedback,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100026.pdf
27,TKT-20240027,ORD-2024100027,2024-12-08,315955,Customer_315955,DELIVERY_PARTNER,CALL_CENTER,West,Maharashtra,Pune,232274,Healthy Greens,Salads,276.35,0.0,276.35,hi,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,OPEN,@swiggy_media_stage/calls/call_27.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100027.pdf
28,TKT-20240028,ORD-2024100028,2024-03-15,329714,Customer_329714,DELIVERY_PARTNER,EMAIL,South,Telangana,Hyderabad,793429,Tandoori Flames,Mughlai,130.04,0.0,130.04,te,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100028.pdf
29,TKT-20240029,ORD-2024100029,2024-08-13,951463,Customer_951463,CONSUMER,CALL_CENTER,South,Telangana,Hyderabad,922896,Tandoori Flames,Mughlai,525.74,0.0,525.74,ml,Refund is taking too long to process after cancellation. Packaging and restaurant cleanliness were questioned.,,1,Hygiene Issue,Negative,IN_PROGRESS,@swiggy_media_stage/calls/call_29.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100029.pdf
30,TKT-20240030,ORD-2024100030,2024-02-01,160770,Customer_160770,RESTAURANT,APP,West,Maharashtra,Mumbai,361804,Idli Express,South Indian,266.26,0.0,266.26,bn,Felt the restaurant hygiene was not up to the mark.,,0,General Feedback,Negative,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100030.pdf
31,TKT-20240031,ORD-2024100031,2024-08-03,682149,Customer_682149,DELIVERY_PARTNER,WHATSAPP,North,Delhi,New Delhi,987622,Tandoori Flames,Mughlai,154.62,15.46,139.16,ta,"Loved the taste and packaging, will definitely reorder.",,0,General Feedback,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100031.pdf
32,TKT-20240032,ORD-2024100032,2024-11-27,408422,Customer_408422,CONSUMER,EMAIL,North,Delhi,New Delhi,739641,China Bowl,Chinese,886.43,177.29,709.14,ml,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100032.pdf
33,TKT-20240033,ORD-2024100033,2024-04-15,857383,Customer_857383,DELIVERY_PARTNER,EMAIL,North,Rajasthan,Jaipur,397061,Bombay Chaats,Street Food,241.55,24.16,217.39,ml,Refund is taking too long to process after cancellation. One or more dishes did not match the original order.,,1,Wrong Item,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100033.pdf
34,TKT-20240034,ORD-2024100034,2024-02-21,243007,Customer_243007,RESTAURANT,TWITTER,West,Maharashtra,Mumbai,383587,Truffles,Burgers,191.67,19.17,172.5,ta,"Loved the taste and packaging, will definitely reorder. Customer reported app crash during payment or tracking.","Swiggy delivery on point today, hot biryani right on time 🔥",1,App Crash,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100034.pdf
35,TKT-20240035,ORD-2024100035,2024-06-17,400835,Customer_400835,RESTAURANT,WHATSAPP,North,Rajasthan,Jaipur,346391,Empire Restaurant,North Indian,220.33,44.07,176.26,en,Seamless app experience and quick delivery.,,0,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100035.pdf
36,TKT-20240036,ORD-2024100036,2024-12-11,289052,Customer_289052,CONSUMER,EMAIL,South,Karnataka,Bengaluru,535535,Pizza Palace,Pizza,337.42,50.61,286.81,hi,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100036.pdf
37,TKT-20240037,ORD-2024100037,2024-08-03,276315,Customer_276315,DELIVERY_PARTNER,WHATSAPP,West,Maharashtra,Mumbai,124984,Truffles,Burgers,604.39,0.0,604.39,ml,Refund is taking too long to process after cancellation.,,0,General Feedback,Negative,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100037.pdf
38,TKT-20240038,ORD-2024100038,2024-11-01,673993,Customer_673993,RESTAURANT,WHATSAPP,South,Karnataka,Bengaluru,797913,Meghna Foods,Biryani,374.19,18.71,355.48,te,Delivery partner was polite and followed instructions perfectly. Customer mentioned the order took more than 50 minutes to arrive.,,1,Late Delivery,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100038.pdf
39,TKT-20240039,ORD-2024100039,2024-12-07,149642,Customer_149642,RESTAURANT,CALL_CENTER,West,Maharashtra,Mumbai,570785,Biryani House,Biryani,291.06,43.66,247.4,ml,Delivery partner was polite and followed instructions perfectly.,,0,General Feedback,Positive,OPEN,@swiggy_media_stage/calls/call_39.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100039.pdf
40,TKT-20240040,ORD-2024100040,2024-08-12,144807,Customer_144807,RESTAURANT,WHATSAPP,South,Karnataka,Bengaluru,318347,Empire Restaurant,North Indian,276.65,55.33,221.32,en,Seamless app experience and quick delivery.,,0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100040.pdf
41,TKT-20240041,ORD-2024100041,2024-11-11,503006,Customer_503006,DELIVERY_PARTNER,CALL_CENTER,West,Maharashtra,Pune,549456,Truffles,Burgers,172.61,8.63,163.98,ml,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,RESOLVED,@swiggy_media_stage/calls/call_41.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100041.pdf
42,TKT-20240042,ORD-2024100042,2024-07-05,634885,Customer_634885,DELIVERY_PARTNER,WHATSAPP,South,Tamil Nadu,Chennai,530937,Meghna Foods,Biryani,229.48,0.0,229.48,bn,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100042.pdf
43,TKT-20240043,ORD-2024100043,2024-08-20,787075,Customer_787075,CONSUMER,TWITTER,North,Rajasthan,Jaipur,130881,China Bowl,Chinese,436.96,65.54,371.42,ta,Restaurant maintained good hygiene and quality.,"Loved the quick delivery and polite partner, thanks @swiggy_in",0,General Feedback,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100043.pdf
44,TKT-20240044,ORD-2024100044,2024-03-27,141604,Customer_141604,DELIVERY_PARTNER,APP,North,Uttar Pradesh,Lucknow,201532,Healthy Greens,Salads,538.15,26.91,511.24,en,"Received wrong items in the order, very disappointed.",,0,General Feedback,Negative,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100044.pdf
45,TKT-20240045,ORD-2024100045,2024-03-10,631083,Customer_631083,RESTAURANT,APP,North,Rajasthan,Jaipur,651218,Pizza Palace,Pizza,760.46,152.09,608.37,ml,Refund is taking too long to process after cancellation.,,0,General Feedback,Negative,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100045.pdf
46,TKT-20240046,ORD-2024100046,2024-12-12,604248,Customer_604248,CONSUMER,CALL_CENTER,West,Maharashtra,Mumbai,864197,Empire Restaurant,North Indian,240.18,0.0,240.18,hi,Delivery partner was rude and did not follow instructions. One or more dishes did not match the original order.,,1,Wrong Item,Negative,IN_PROGRESS,@swiggy_media_stage/calls/call_46.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100046.pdf
47,TKT-20240047,ORD-2024100047,2024-10-12,361121,Customer_361121,RESTAURANT,CALL_CENTER,North,Rajasthan,Jaipur,624427,Empire Restaurant,North Indian,717.38,71.74,645.64,ml,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,ESCALATED,@swiggy_media_stage/calls/call_47.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100047.pdf
48,TKT-20240048,ORD-2024100048,2024-08-29,515560,Customer_515560,DELIVERY_PARTNER,APP,West,Maharashtra,Pune,536667,Truffles,Burgers,491.51,0.0,491.51,en,Delivery partner was polite and followed instructions perfectly. Packaging and restaurant cleanliness were questioned.,,1,Hygiene Issue,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100048.pdf
49,TKT-20240049,ORD-2024100049,2024-10-28,828957,Customer_828957,DELIVERY_PARTNER,CALL_CENTER,South,Karnataka,Bengaluru,293623,Meghna Foods,Biryani,728.56,109.28,619.28,te,Delivery partner was polite and followed instructions perfectly.,,0,General Feedback,Positive,RESOLVED,@swiggy_media_stage/calls/call_49.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100049.pdf
50,TKT-20240050,ORD-2024100050,2024-07-01,670837,Customer_670837,DELIVERY_PARTNER,APP,East,West Bengal,Kolkata,315825,Empire Restaurant,North Indian,203.5,40.7,162.8,en,Delivery partner was rude and did not follow instructions.,,0,General Feedback,Negative,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100050.pdf
51,TKT-20240051,ORD-2024100051,2024-02-02,937360,Customer_937360,CONSUMER,CALL_CENTER,East,West Bengal,Kolkata,340003,China Bowl,Chinese,696.24,0.0,696.24,te,"Loved the taste and packaging, will definitely reorder. Customer reported app crash during payment or tracking.",,1,App Crash,Positive,OPEN,@swiggy_media_stage/calls/call_51.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100051.pdf
52,TKT-20240052,ORD-2024100052,2024-12-20,226930,Customer_226930,DELIVERY_PARTNER,CALL_CENTER,South,Telangana,Hyderabad,186405,Truffles,Burgers,712.03,106.8,605.23,ml,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,ESCALATED,@swiggy_media_stage/calls/call_52.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100052.pdf
53,TKT-20240053,ORD-2024100053,2024-01-27,198480,Customer_198480,DELIVERY_PARTNER,TWITTER,West,Maharashtra,Pune,494708,China Bowl,Chinese,477.38,47.74,429.64,bn,Restaurant maintained good hygiene and quality. Customer mentioned the order took more than 50 minutes to arrive.,"Loved the quick delivery and polite partner, thanks @swiggy_in",1,Late Delivery,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100053.pdf
54,TKT-20240054,ORD-2024100054,2024-04-14,942919,Customer_942919,DELIVERY_PARTNER,WHATSAPP,South,Tamil Nadu,Chennai,259076,China Bowl,Chinese,766.57,153.31,613.26,en,"Received wrong items in the order, very disappointed.",,0,General Feedback,Negative,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100054.pdf
55,TKT-20240055,ORD-2024100055,2024-05-03,834257,Customer_834257,DELIVERY_PARTNER,TWITTER,South,Telangana,Hyderabad,990044,Idli Express,South Indian,227.27,34.09,193.18,ta,"Loved the taste and packaging, will definitely reorder.","Loved the quick delivery and polite partner, thanks @swiggy_in",0,General Feedback,Positive,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100055.pdf
56,TKT-20240056,ORD-2024100056,2024-02-10,782941,Customer_782941,DELIVERY_PARTNER,EMAIL,West,Maharashtra,Mumbai,740283,China Bowl,Chinese,662.91,132.58,530.33,bn,Seamless app experience and quick delivery. Customer mentioned the order took more than 50 minutes to arrive.,,1,Late Delivery,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100056.pdf
57,TKT-20240057,ORD-2024100057,2024-12-12,739121,Customer_739121,DELIVERY_PARTNER,TWITTER,South,Telangana,Hyderabad,914823,Idli Express,South Indian,280.64,14.03,266.61,ml,Order arrived very late and the food was cold.,"Refund still pending after cancellation, please check!",0,General Feedback,Negative,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100057.pdf
58,TKT-20240058,ORD-2024100058,2024-07-07,588415,Customer_588415,RESTAURANT,CALL_CENTER,North,Delhi,New Delhi,461015,Biryani House,Biryani,222.98,22.3,200.68,te,Delivery partner was polite and followed instructions perfectly. Customer shared overall experience and suggestions.,,1,General Feedback,Positive,IN_PROGRESS,@swiggy_media_stage/calls/call_58.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100058.pdf
59,TKT-20240059,ORD-2024100059,2024-05-31,300560,Customer_300560,RESTAURANT,TWITTER,South,Karnataka,Bengaluru,886598,Idli Express,South Indian,310.0,0.0,310.0,hi,"Received wrong items in the order, very disappointed. Packaging and restaurant cleanliness were questioned.","Refund still pending after cancellation, please check!",1,Hygiene Issue,Negative,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100059.pdf
60,TKT-20240060,ORD-2024100060,2024-02-21,355198,Customer_355198,CONSUMER,WHATSAPP,South,Telangana,Hyderabad,187629,Meghna Foods,Biryani,784.43,0.0,784.43,bn,"Received wrong items in the order, very disappointed.",,0,General Feedback,Negative,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100060.pdf
61,TKT-20240061,ORD-2024100061,2024-07-31,263339,Customer_263339,CONSUMER,WHATSAPP,North,Delhi,New Delhi,572451,Meghna Foods,Biryani,535.69,0.0,535.69,bn,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100061.pdf
62,TKT-20240062,ORD-2024100062,2024-10-18,250690,Customer_250690,CONSUMER,CALL_CENTER,South,Tamil Nadu,Chennai,880147,Healthy Greens,Salads,286.7,57.34,229.36,ml,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,IN_PROGRESS,@swiggy_media_stage/calls/call_62.wav,@swiggy_media_stage/invoices/invoice_ORD-2024100062.pdf
63,TKT-20240063,ORD-2024100063,2024-04-28,622835,Customer_622835,RESTAURANT,APP,West,Maharashtra,Mumbai,417351,Meghna Foods,Biryani,149.95,22.49,127.46,hi,Felt the restaurant hygiene was not up to the mark.,,0,General Feedback,Negative,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100063.pdf
64,TKT-20240064,ORD-2024100064,2024-02-09,928979,Customer_928979,DELIVERY_PARTNER,WHATSAPP,West,Gujarat,Ahmedabad,411507,Idli Express,South Indian,341.88,68.38,273.5,hi,"Food was hot and on time, very happy with the service.",,0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100064.pdf
65,TKT-20240065,ORD-2024100065,2024-09-19,417187,Customer_417187,DELIVERY_PARTNER,APP,North,Delhi,New Delhi,587498,China Bowl,Chinese,196.16,19.62,176.54,en,"Received wrong items in the order, very disappointed.",,0,General Feedback,Negative,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100065.pdf
66,TKT-20240066,ORD-2024100066,2024-06-20,233431,Customer_233431,DELIVERY_PARTNER,EMAIL,South,Tamil Nadu,Chennai,222007,Healthy Greens,Salads,917.81,91.78,826.03,en,Restaurant requested more clarity on offer terms. Packaging and restaurant cleanliness were questioned.,,1,Hygiene Issue,Neutral,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100066.pdf
67,TKT-20240067,ORD-2024100067,2024-10-20,652652,Customer_652652,CONSUMER,APP,South,Karnataka,Bengaluru,775201,China Bowl,Chinese,550.08,82.51,467.57,te,"Loved the taste and packaging, will definitely reorder. Refund was not credited even after 3-5 working days.",,1,Refund Delay,Positive,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100067.pdf
68,TKT-20240068,ORD-2024100068,2024-08-19,892526,Customer_892526,CONSUMER,TWITTER,South,Telangana,Hyderabad,872604,Tandoori Flames,Mughlai,481.64,48.16,433.48,bn,Delivery partner was rude and did not follow instructions. Customer reported app crash during payment or tracking.,"Order came cold and super late, not cool @swiggy_in",1,App Crash,Negative,IN_PROGRESS,,@swiggy_media_stage/invoices/invoice_ORD-2024100068.pdf
69,TKT-20240069,ORD-2024100069,2024-08-31,336408,Customer_336408,RESTAURANT,TWITTER,South,Telangana,Hyderabad,262283,Biryani House,Biryani,491.72,98.34,393.38,ta,Seamless app experience and quick delivery.,"Loved the quick delivery and polite partner, thanks @swiggy_in",0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100069.pdf
70,TKT-20240070,ORD-2024100070,2024-12-08,156787,Customer_156787,CONSUMER,APP,South,Tamil Nadu,Chennai,239750,Idli Express,South Indian,249.36,12.47,236.89,hi,"Loved the taste and packaging, will definitely reorder.",,0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100070.pdf
71,TKT-20240071,ORD-2024100071,2024-10-07,597457,Customer_597457,CONSUMER,EMAIL,North,Uttar Pradesh,Lucknow,539752,Idli Express,South Indian,544.06,0.0,544.06,hi,"Loved the taste and packaging, will definitely reorder.",,0,General Feedback,Positive,OPEN,,@swiggy_media_stage/invoices/invoice_ORD-2024100071.pdf
72,TKT-20240072,ORD-2024100072,2024-07-06,276096,Customer_276096,DELIVERY_PARTNER,WHATSAPP,North,Rajasthan,Jaipur,669859,Healthy Greens,Salads,129.99,6.5,123.49,te,Restaurant maintained good hygiene and quality.,,0,General Feedback,Positive,ESCALATED,,@swiggy_media_stage/invoices/invoice_ORD-2024100072.pdf
73,TKT-20240073,ORD-2024100073,2024-01-21,999983,Customer_999983,RESTAURANT,TWITTER,East,West Bengal,Kolkata,986233,Meghna Foods,Biryani,274.99,0.0,274.99,en,Felt the restaurant hygiene was not up to the mark.,"Refund still pending after cancellation, please check!",0,General Feedback,Negative,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100073.pdf
74,TKT-20240074,ORD-2024100074,2024-11-22,301028,Customer_301028,DELIVERY_PARTNER,EMAIL,South,Telangana,Hyderabad,641463,Biryani House,Biryani,329.39,0.0,329.39,ml,Restaurant requested more clarity on offer terms.,,0,General Feedback,Neutral,RESOLVED,,@swiggy_media_stage/invoices/invoice_ORD-2024100074.pdf
